##
CNY,人民币|在岸人民币,中国|中华人民共和国
USD,美元|美刀,美国
HKD,港元,香港
MOP,澳元|澳门元,澳门

## ExResult.GetAllCurrencyInfo 【自动分析】 【正常数据】
AED,迪拉姆,阿联酋
AFN,尼,阿富汗
ALL,列克,阿尔巴尼亚
AMD,德拉姆,亚美尼亚
ANG,荷兰盾,荷兰
AOA,宽扎,安哥拉
ARS,披索,阿根廷
AUD,澳大利亚元,澳大利亚
AWG,阿鲁巴盾,阿鲁巴
AZN,新马纳特,阿塞拜疆
BBD,巴巴多斯元,巴巴多斯
BDT,塔卡,孟加拉国
BGN,列瓦,保加利亚
BHD,巴林第纳尔,巴林
BIF,布隆迪法郎,布隆迪
BMD,百慕大元,百慕大
BND,文莱元,文莱
BOB,诺,玻利维亚
BRL,雷亚尔,巴西
BSD,巴哈马元,巴哈马
BTN,努扎姆,不丹
BYR,白俄罗斯卢布,白俄罗斯
BZD,伯利兹元,伯利兹
CAD,加拿大元,加拿大
CDF,刚果法郎,刚果
CHF,瑞士法郎,瑞士
CLP,智利比索,智利
CNH,离岸人民币,中国离岸
CNY,人民币,中国
COP,哥伦比亚比索,哥伦比亚
CRC,科朗,哥斯达黎加
CUP,古巴比索,古巴
CZK,捷克克朗,捷克
DJF,吉布提法郎,吉布提
DKK,丹麦克朗,丹麦
DOP,多米尼加比索,多米尼加
DZD,阿尔及利亚第纳尔,阿尔及利亚
EGP,埃及镑,埃及
ERN,里亚,厄立特
ETB,比尔,埃塞俄比亚
EUR,欧元,欧洲
FJD,斐济元,斐济
FKP,福克兰群岛镑,福克兰群岛
GBP,英镑,英国
GEL,拉里,格鲁吉亚
GHS,塞地,加纳
GIP,直布罗陀镑,直布罗陀
GNF,几内亚法郎,几内亚
GTQ,格查尔,危地马拉
GYD,圭亚那元,圭亚那
HKD,港币,香港
HNL,伦皮拉,洪都拉斯
HRK,库纳,克罗地亚
HTG,古德,海地
HUF,福林,匈牙利
IDR,印度尼西亚盾,印度尼西亚
ILS,谢克尔,以色列
INR,印度卢比,印度
IQD,伊拉克第纳尔,伊拉克
IRR,伊朗里亚尔,伊朗
ISK,冰岛克朗,冰岛
JMD,牙买加元,牙买加
JOD,约旦第纳尔,约旦
JPY,日元,日本
KES,肯尼亚先令,肯尼亚
KGS,索姆,吉尔吉斯
KHR,瑞尔,柬埔寨
KMF,科摩罗法郎,科摩罗
KPW,朝鲜元,朝鲜
KRW,韩国元,韩国
KWD,科威特第纳尔,科威特
KYD,开曼群岛元,开曼群岛
KZT,坚戈,哈萨克斯坦
LAK,基普,老挝
LBP,黎巴嫩镑,黎巴嫩
LKR,斯里兰卡卢比,斯里兰卡
